"country","region","infected","deaths","recoveries","active","total_per_mil","deaths_per_mil","total_tests","long","lat","last_updated"
"Sierra Leone","","30","0","0","30","4","0","0","-11.8400269","8.6400349","2020-04-19 12:34:39"
"Zimbabwe","","25","3","2","20","2","2","2626","29.7468414","-18.4554963","2020-04-19 12:34:39"
"Angola","","24","2","6","16","7","6","0","17.5691241","-11.8775768","2020-04-19 12:34:39"
"Antigua and Barbuda","","23","3","3","17","235","31","73","-61.9554608","17.2234721","2020-04-19 12:34:39"
"Eswatini","","22","1","8","13","19","9","714","31.3991317","-26.5624806","2020-04-19 12:34:39"
"Laos","","19","0","2","17","3","0","1318","103.378253","20.0171109","2020-04-19 12:34:39"
"Belize","","18","2","0","16","45","5","651","-88.7600927","16.8259793","2020-04-19 12:34:39"
"New Caledonia","","18","0","15","3","63","0","3399","164.55660583077983","-20.454288599999998","2020-04-19 12:34:39"
"Timor-Leste","","18","0","1","17","14","0","0","125.8375756","-8.5151979","2020-04-19 12:34:39"
"Malawi","","17","2","3","12","9","1","417","33.9301963","-13.2687204","2020-04-19 12:34:39"
"Fiji","","17","0","0","17","19","0","0","179.0122737","-18.1239696","2020-04-19 12:34:39"
"Dominica","","16","0","8","8","222","0","345","-70.3028026","19.0974031","2020-04-19 12:34:39"
"Namibia","","16","0","6","10","6","0","499","17.3231107","-23.2335499","2020-04-19 12:34:39"
"Botswana","","15","1","0","14","6","4","3602","24.5928742","-23.1681782","2020-04-19 12:34:39"
"Saint Lucia","","15","0","11","4","82","0","344","-60.975036","13.8250489","2020-04-19 12:34:39"
"Curaçao","","14","1","11","2","85","6","286","-68.9640875031406","12.1845","2020-04-19 12:34:39"
"Grenada","","14","0","6","8","124","0","92","-61.6904045","12.1360374","2020-04-19 12:34:39"
"Saint Kitts and Nevis","","14","0","0","14","263","0","234","-62.6725973","17.250512","2020-04-19 12:34:39"
"CAR","","12","0","4","8","2","0","0","-81.0927234","40.5250362","2020-04-19 12:34:39"
"St. Vincent Grenadines","","12","0","1","11","108","0","87","-61.2765569","12.90447","2020-04-19 12:34:39"
"Turks and Caicos","","11","1","0","10","284","26","83","-71.6201783","21.7214683","2020-04-19 12:34:39"
"Falkland Islands","","11","0","3","8","3161","0","319","-59.5500387","-51.9666424","2020-04-19 12:34:39"
"Greenland","","11","0","11","0","194","0","1043","-42.8125967","77.6192349","2020-04-19 12:34:39"
"Montserrat","","11","0","2","9","2204","0","36","-62.1916844","16.7417041","2020-04-19 12:34:39"
"Seychelles","","11","0","5","6","112","0","0","55.4540146","-4.6574977","2020-04-19 12:34:39"
"Suriname","","10","1","6","3","17","2","0","-56.0771187","4.1413025","2020-04-19 12:34:39"
"MS Zaandam","","9","2","0","7","0","0","0","4.8185293","52.4387696","2020-04-19 12:34:39"
"Nicaragua","","9","2","6","1","1","3","0","-85.2936911","12.6090157","2020-04-19 12:34:39"
"Gambia","","9","1","2","6","4","4","316","-15.4900464","13.470062","2020-04-19 12:34:39"
"Vatican City","","8","0","2","6","9988","0","0","12.453152716779822","41.90381485","2020-04-19 12:34:39"
"Mauritania","","7","1","6","0","2","2","913","-9.2399263","20.2540382","2020-04-19 12:34:39"
"Papua New Guinea","","7","0","0","7","8","0","167","144.2489081","-5.6816069","2020-04-19 12:34:39"
"St. Barth","","6","0","5","1","607","0","0","-62.811568843006896","17.9036287","2020-04-19 12:34:39"
"Western Sahara","","6","0","0","6","10","0","0","-13.7667848","24.1797324","2020-04-19 12:34:39"
"Burundi","","5","1","0","4","4","8","80","29.8870575","-3.3634357","2020-04-19 12:34:39"
"Bhutan","","5","0","2","3","6","0","8107","90.5119273","27.549511","2020-04-19 12:34:39"
"British Virgin Islands","","4","0","2","2","132","0","0","-64.5661642","18.4024395","2020-04-19 12:34:39"
"Sao Tome and Principe","","4","0","0","4","18","0","19","6.9648718","0.8875498","2020-04-19 12:34:39"
"South Sudan","","4","0","0","4","4","0","0","29.6667897","7.8699431","2020-04-19 12:34:39"
"Anguilla","","3","0","1","2","200","0","0","-63.0750234","18.1954947","2020-04-19 12:34:39"
"Caribbean Netherlands","","3","0","0","3","114","0","10","-63.143238651638256","17.566000000000003","2020-04-19 12:34:39"
"Saint Pierre Miquelon","","1","0","0","1","173","0","0","-56.195158907484085","46.783246899999995","2020-04-19 12:34:39"
"Yemen","","1","0","0","1","3","0","0","47.8915271","16.3471243","2020-04-19 12:34:39"
"China","","82735","4632","77062","1041","57","3","0","104.999927","35.000074","2020-04-19 12:34:39"
