"country","region","infected","deaths","recoveries","active","total_per_mil","deaths_per_mil","total_tests","long","lat","last_updated"
"Seychelles","","11","0","0","11","112","0","0","55.4540146","-4.6574977","2020-04-15 13:44:32"
"Sierra Leone","","11","0","0","11","1","0","0","-11.8400269","8.6400349","2020-04-15 13:44:32"
"Suriname","","10","1","6","3","17","2","0","-56.0771187","4.1413025","2020-04-15 13:44:32"
"Turks and Caicos","","10","1","0","9","258","26","71","-71.6201783","21.7214683","2020-04-15 13:44:32"
"MS Zaandam","","9","2","0","7","0","0","0","4.8185293","52.4387696","2020-04-15 13:44:32"
"Gambia","","9","1","2","6","4","4","281","-15.4900464","13.470062","2020-04-15 13:44:32"
"Nicaragua","","9","1","4","4","1","2","0","-85.2936911","12.6090157","2020-04-15 13:44:32"
"Vatican City","","8","0","2","6","9988","0","0","12.453152716779822","41.90381485","2020-04-15 13:44:32"
"Timor-Leste","","8","0","1","7","6","0","0","125.8375756","-8.5151979","2020-04-15 13:44:32"
"Mauritania","","7","1","2","4","2","2","593","-9.2399263","20.2540382","2020-04-15 13:44:32"
"St. Barth","","6","0","4","2","607","0","0","-62.811568843006896","17.9036287","2020-04-15 13:44:32"
"Western Sahara","","6","0","0","6","10","0","0","-13.7667848","24.1797324","2020-04-15 13:44:32"
"Burundi","","5","1","0","4","4","8","0","29.8870575","-3.3634357","2020-04-15 13:44:32"
"Bhutan","","5","0","2","3","6","0","1166","90.5119273","27.549511","2020-04-15 13:44:32"
"Sao Tome and Principe","","4","0","0","4","18","0","19","6.9648718","0.8875498","2020-04-15 13:44:32"
"South Sudan","","4","0","0","4","4","0","0","29.6667897","7.8699431","2020-04-15 13:44:32"
"Anguilla","","3","0","1","2","200","0","0","-63.0750234","18.1954947","2020-04-15 13:44:32"
"British Virgin Islands","","3","0","2","1","99","0","0","-64.5661642","18.4024395","2020-04-15 13:44:32"
"Caribbean Netherlands","","3","0","0","3","114","0","10","-63.143238651638256","17.566000000000003","2020-04-15 13:44:32"
"Papua New Guinea","","2","0","0","2","2","0","72","144.2489081","-5.6816069","2020-04-15 13:44:32"
"Saint Pierre Miquelon","","1","0","0","1","173","0","0","-56.195158907484085","46.783246899999995","2020-04-15 13:44:32"
"Yemen","","1","0","0","1","3","0","0","47.8915271","16.3471243","2020-04-15 13:44:32"
"China","","82295","3342","77816","1137","57","2","0","104.999927","35.000074","2020-04-15 13:44:32"
